latitude,longitude,node_id,type,name
33.5267889,126.5633144,1137155358,intersection,intersection
33.5240562,126.5634478,1137156156,intersection,intersection
33.5247332,126.563488,4099207069,intersection,intersection
33.5246687,126.5634901,1137155732,intersection,intersection
33.524623,126.5634931,1137156776,intersection,intersection
33.5242287,126.5636884,1137156085,intersection,intersection
33.524858,126.5636973,1137156188,intersection,intersection
33.5241572,126.5636983,1137155895,intersection,intersection
33.5249842,126.5637117,1137156382,intersection,intersection
33.5253338,126.5637138,1137156303,intersection,intersection
33.5252875,126.5637139,1137155990,intersection,intersection
33.5247115,126.5637656,1137155626,intersection,intersection
33.5239391,126.563799,1137155642,intersection,intersection
33.5264121,126.5639943,2796339969,intersection,intersection
33.5244956,126.5640824,1137156002,intersection,intersection
33.5242299,126.5640863,4099207030,intersection,intersection
33.5255208,126.5643066,1137156160,intersection,intersection
33.5251959,126.5645727,1137155684,intersection,intersection
33.5243137,126.5645633,1137156773,intersection,intersection
33.5233273,126.5650699,1137156960,intersection,intersection
33.5239155,126.565271,1137155497,intersection,intersection
33.5239108,126.5655442,1137156642,intersection,intersection
33.5246348,126.5671595,3778878216,intersection,intersection
33.5247358,126.5673988,3764541896,intersection,intersection
33.524425,126.5674551,1137155785,intersection,intersection
33.524119,126.5675244,1137156912,intersection,intersection
33.5249129,126.5678933,1137156843,intersection,intersection
33.5252958,126.5680548,4099032492,intersection,intersection
33.5254469,126.5681562,1137155357,intersection,intersection
33.5252576,126.5682965,1137155852,intersection,intersection
33.5250653,126.5682955,3778878217,intersection,intersection
33.526132,126.5686691,1137156506,intersection,intersection
33.5250143,126.573822,1137155660,intersection,intersection
33.5251751,126.5740556,1137155701,intersection,intersection
33.5263883,126.5758236,4097199310,intersection,intersection
33.5265056,126.5765118,1137155320,intersection,intersection
33.5262514,126.5770014,1137156157,intersection,intersection
33.5254127,126.5783688,1137156396,intersection,intersection
33.5250497,126.5784638,1137155532,intersection,intersection
33.5249328,126.5795623,1137156202,intersection,intersection
33.5244877,126.5803377,1137157036,intersection,intersection
33.52449,126.5814498,1137155487,intersection,intersection
33.5244931,126.5815498,1137156292,intersection,intersection
33.5244989,126.5825942,1137155799,intersection,intersection
33.5245136,126.5828752,1137156232,intersection,intersection
33.524531,126.5838049,1137155413,intersection,intersection
33.5248882,126.5847884,1137155502,intersection,intersection
33.5281767,126.5883588,3737674893,intersection,intersection
33.5268,126.5879903,1137156745,intersection,intersection
33.5274109,126.5884913,1137155869,intersection,intersection
33.5278234,126.5887865,1137156950,intersection,intersection
33.5293108,126.5892575,1137155685,intersection,intersection
33.5290881,126.5893293,1137156140,intersection,intersection
33.5287646,126.5895179,1137155514,intersection,intersection
33.5289351,126.5896409,1137155518,intersection,intersection
33.5287791,126.5898166,1137156828,intersection,intersection
33.5286329,126.5900147,1137156762,intersection,intersection
33.5315998,126.5916235,1137155554,intersection,intersection
33.5316922,126.591689,1137155316,intersection,intersection
33.5379399,126.6221584,4088042992,intersection,intersection
33.5378394,126.6230577,2620975640,intersection,intersection
33.5374795,126.6230711,2620975751,intersection,intersection
33.5376977,126.6239019,3727977772,intersection,intersection
33.5367479,126.6236905,2620975720,intersection,intersection
33.5361311,126.6254733,3727977778,intersection,intersection
33.5357202,126.6254093,3727977779,intersection,intersection
33.5358131,126.6262814,2796475890,intersection,intersection
33.535009,126.6281283,12011730147,intersection,intersection
33.5352883,126.6284253,12011730154,intersection,intersection
33.5351091,126.6283187,12011730153,intersection,intersection
33.550565,126.6413104,2622322932,intersection,intersection
33.5404382,126.6368438,3756185099,intersection,intersection
33.5395813,126.6371327,2622312058,intersection,intersection
33.5394573,126.637088,1930985129,intersection,intersection
33.5490596,126.6477783,3740637664,intersection,intersection
33.5489075,126.6512235,2622312137,intersection,intersection
33.5496261,126.652105,2622322989,intersection,intersection
33.5496996,126.6522068,3728209338,intersection,intersection
33.5493534,126.6553598,2622323058,intersection,intersection
33.5479831,126.6567384,2622323014,intersection,intersection
33.5467177,126.6595438,5337578613,intersection,intersection
33.545416,126.6608217,3488608863,intersection,intersection
33.5454366,126.6609454,2622323034,intersection,intersection
33.5452282,126.6611112,2620960134,intersection,intersection
33.5447344,126.6609023,3488608839,intersection,intersection
33.5444646,126.6608067,2620960137,intersection,intersection
33.5447186,126.66267,2141983989,intersection,intersection
33.54356,126.6636923,3749960841,intersection,intersection
33.5431129,126.6645111,5337578634,intersection,intersection
33.5427345,126.664268,5337578633,intersection,intersection
33.5424332,126.6640333,5337578636,intersection,intersection
33.5430269,126.6647009,5337578632,intersection,intersection
33.5426551,126.6644577,5337578631,intersection,intersection
33.5428409,126.6651114,5337578627,intersection,intersection
33.5424757,126.6648866,5337578629,intersection,intersection
33.5421612,126.664606,3749960852,intersection,intersection
33.5427015,126.6655588,2141984017,intersection,intersection
33.5422936,126.6652854,5337578630,intersection,intersection
33.5427035,126.6665749,3738303436,intersection,intersection
33.5426937,126.6671316,2141983990,intersection,intersection
33.5426295,126.6684024,2141983985,intersection,intersection
33.5426262,126.670293,2141984001,intersection,intersection
33.5440997,126.672998,3749960888,intersection,intersection
33.5437144,126.6739698,3749960891,intersection,intersection
33.5441166,126.6745155,3749960893,intersection,intersection
33.5441115,126.6745995,2141983995,intersection,intersection
33.548758,126.6842373,3728177138,intersection,intersection
33.5487791,126.6844644,3728177137,intersection,intersection
33.5478975,126.684725,3728177019,intersection,intersection
33.5480766,126.6852171,3728177126,intersection,intersection
33.5505575,126.6911527,3728208793,intersection,intersection
33.5501661,126.6912995,3728208790,intersection,intersection
33.5486917,126.6903711,2713478196,intersection,intersection
33.5501089,126.6931877,3728176794,intersection,intersection
33.5500435,126.6932307,3728176935,intersection,intersection
33.5500978,126.6938228,3488631225,intersection,intersection
33.549906,126.6938414,3488631216,intersection,intersection
33.5497221,126.6942842,3749963380,intersection,intersection
33.5501647,126.6951355,3488631229,intersection,intersection
33.5501145,126.6952683,3488631226,intersection,intersection
33.5498391,126.6950027,3488631212,intersection,intersection
33.5497384,126.6952113,2813207677,intersection,intersection
33.5498344,126.6954028,2813207679,intersection,intersection
33.5527917,126.7053317,9003071894,intersection,intersection
33.5527162,126.7053902,3746791238,intersection,intersection
33.5527412,126.7059617,9003071895,intersection,intersection
33.5531047,126.7065203,9003071877,intersection,intersection
33.5527391,126.7060821,2813237955,intersection,intersection
33.5528283,126.7062395,436405453,intersection,intersection
33.5532324,126.7068997,9003071886,intersection,intersection
33.5527311,126.7063023,2813208017,intersection,intersection
33.5524817,126.706364,9003071900,intersection,intersection
33.5526608,126.7066508,9003071905,intersection,intersection
33.5526814,126.7068685,9003071885,intersection,intersection
33.5533962,126.7095237,2620952502,intersection,intersection
33.5539177,126.7125125,2620952528,intersection,intersection
33.5534488,126.7120186,4309862251,intersection,intersection
33.5535012,126.7123443,2620952533,intersection,intersection
33.5537892,126.7133484,2620952510,intersection,intersection
33.5538229,126.7136163,3728176778,intersection,intersection
33.5530235,126.7143725,2620952511,intersection,intersection
33.5532033,126.7156582,3749963391,intersection,intersection
33.553365,126.7166136,2787827869,intersection,intersection
33.5552666,126.7366904,436405273,intersection,intersection
33.5551773,126.7366559,2813213649,intersection,intersection
33.554599,126.7379149,9004248072,intersection,intersection
33.5543817,126.7382584,414940229,intersection,intersection
33.5543166,126.7381902,2813213637,intersection,intersection
33.5545166,126.7387242,9004248066,intersection,intersection
33.5540901,126.7387369,9004248060,intersection,intersection
33.5584869,126.7544537,3728176551,intersection,intersection
33.5583628,126.7548502,3728176544,intersection,intersection
33.5577686,126.7554432,3728176537,intersection,intersection
33.5597133,126.7629651,3728072595,intersection,intersection
33.5567024,126.7587331,3728176528,intersection,intersection
33.5636008,126.7784668,2787827773,intersection,intersection
33.5614684,126.7850526,3737818907,intersection,intersection
33.5596117,126.7921661,3737819062,intersection,intersection
33.5576921,126.7943647,3737819059,intersection,intersection
33.5577109,126.7947489,3768818041,intersection,intersection
33.5569984,126.7938039,3737818854,intersection,intersection
33.5570074,126.7940855,3737818853,intersection,intersection
33.5565729,126.7946283,3737818850,intersection,intersection
33.5566515,126.7948133,3737818849,intersection,intersection
33.5561169,126.7954381,3746800038,intersection,intersection
33.5552226,126.7965715,3429573149,intersection,intersection
33.5553708,126.7968986,2620930360,intersection,intersection
33.5552938,126.7971003,3788677886,intersection,intersection
33.5551501,126.7974531,3429573252,intersection,intersection
33.5551076,126.7997699,3429567257,intersection,intersection
33.554765,126.7999019,3746810198,intersection,intersection
33.5549538,126.8005035,3737819328,intersection,intersection
33.5565235,126.8053356,3758786549,intersection,intersection
33.5565871,126.8057223,2620930340,intersection,intersection
33.5562732,126.8054046,3737819352,intersection,intersection
33.556598,126.8063137,3768774469,intersection,intersection
33.5560175,126.8054117,3737819351,intersection,intersection
33.5562694,126.8059295,3768774462,intersection,intersection
33.5562771,126.8061963,3768774463,intersection,intersection
33.5603691,126.8148526,10259114786,intersection,intersection
33.5563751,126.8077552,3758786538,intersection,intersection
33.556363,126.8078434,3746810199,intersection,intersection
33.5557761,126.8072483,3737819360,intersection,intersection
33.5558772,126.8079755,3746810201,intersection,intersection
33.5567237,126.8106982,3737826229,intersection,intersection
33.5545944,126.8250471,3737845180,intersection,intersection
33.5434186,126.8274055,3737849917,intersection,intersection
33.5430937,126.8277189,2620930272,intersection,intersection
33.5429681,126.8304902,2620930267,intersection,intersection
33.5423307,126.8302138,2886639325,intersection,intersection
33.5411432,126.831246,2886639187,intersection,intersection
33.5408029,126.8309795,2886639177,intersection,intersection
33.5402216,126.8314293,3737855580,intersection,intersection
33.5399895,126.8314404,3737855579,intersection,intersection
33.5399635,126.8330472,3737901663,intersection,intersection
33.5397052,126.8331369,3737901722,intersection,intersection
33.5396668,126.833213,3758585450,intersection,intersection
